attr;boolean;deprecated;tags;doc;url
radiogroup;0;1;command;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
readonly;1;0;input,textarea;Indicates whether the element can be edited.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/readonly
referrerpolicy;0;0;a,area,iframe,img,link,script;Specifies which referrer is sent when fetching the resource.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
rel;0;0;a,area,link;Specifies the relationship of the target object to the link object.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/rel
required;1;0;input,select,textarea;Indicates whether this element is required to fill out or not.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/required
reversed;1;0;ol;Indicates whether the list should be displayed in a descending order instead of a ascending.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
rows;0;0;textarea;Defines the number of rows in a text area.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
rowspan;0;0;td,th;Defines the number of rows a table cell should span over.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
sandbox;0;0;iframe;Stops a document loaded in an iframe from using certain features (such as submitting forms or opening new windows).;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/iframe#attr-sandbox
scope;0;0;th;Defines the cells that the header test (defined in the th element) relates to.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
scoped;1;0;style;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
selected;1;0;option;Defines a value which will be selected on page load.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
shape;0;0;a,area;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
size;0;0;input,select;Defines the width of the element (in pixels). If the element's type attribute is text or password then it's the number of characters.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/size
sizes;0;0;link,img,source;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
slot;0;0;global;Assigns a slot in a shadow DOM shadow tree to an element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
span;0;0;col,colgroup;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
spellcheck;1;0;global;Indicates whether spell checking is allowed for the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
src;0;0;audio,embed,iframe,img,input,script,source,track,video;The URL of the embeddable content.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
srcdoc;0;0;iframe;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
srclang;0;0;track;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
srcset;0;0;img,source;One or more responsive image candidates.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
start;0;0;ol;Defines the first number if other than 1.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
step;0;0;input;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes/step
style;0;0;global;Defines CSS styles which will override styles previously set.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/style
summary;0;0;table;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
tabindex;0;0;global;Overrides the browser's default tab order and follows the one specified instead.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/tabindex
target;0;0;a,area,base,form;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
title;0;0;global;Text to be displayed in a tooltip when hovering over the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/title
translate;1;0;global;Specify whether an element’s attribute values and the values of its Text node children are to be translated when the page is localized, or whether to leave them unchanged.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
type;0;0;button,input,command,embed,object,script,source,style,menu;Defines the type of the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
usemap;0;0;img,input,object;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
value;0;0;button,data,input,li,meter,option,progress,param;Defines a default value which will be displayed in the element on page load.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
width;0;0;canvas,embed,iframe,img,input,object,video;For the elements listed here, this establishes the element's width. Note: For all other instances, such as <div>, this is a legacy attribute, in which case the CSS width property should be used instead.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
wrap;0;0;textarea;Indicates whether the text should be wrapped.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onabort;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onautocomplete;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onautocompleteerror;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onblur;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
oncancel;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
oncanplay;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
oncanplaythrough;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onchange;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onclick;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onclose;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
oncontextmenu;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
oncuechange;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondblclick;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondrag;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondragend;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondragenter;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondragexit;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondragleave;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondragover;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondragstart;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondrop;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
ondurationchange;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onemptied;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onended;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onerror;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onfocus;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
oninput;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
oninvalid;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onkeydown;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onkeypress;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onkeyup;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onload;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onloadeddata;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onloadedmetadata;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onloadstart;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onmousedown;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onmouseenter;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onmouseleave;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
onmousemove;0;0;global;;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
